,elections_year,region,commission_name,voters_number,ballots_number_received,issued_ballots_number_early,issued_ballots_number_voting_day_incide,issued_ballots_number_voting_day_outside,ballots_number_extinguished,ballots_number_portable_boxes,ballots_number_stationary_boxes,ballots_number_invalid,ballots_number_valid,ballots_number_absentee_received,ballots_number_absentee_issued_at_polling_station,voters_number_voted_on_absentee_ballots,number_absentee_ballots_unused,ballots_number_absentee_issued_to_tik_voters,number_absentee_ballots_lost,ballots_number_lost,ballots_number_not_counted,zhirinovsky_vladimir_volfovich_number,zhirinovsky_vladimir_volfovich_percent,zyuganov_gennady_andreevich_number,zyuganov_gennady_andreevich_percent,mironov_sergey_mikhailovich_number,mironov_sergey_mikhailovich_percent,prokhorov_mikhail_dmitrievich_number,prokhorov_mikhail_dmitrievich_percent,putin_vladimir_vladimirovich_number,putin_vladimir_vladimirovich_percent,link
292,2012-03-04,Красноярский край,Краснотуранская,12203,11455,0,7064,646,3745,646,7064,54,7656,196,96,60,100,1,0,0,0,458,5.94,1567,20.32,215,2.79,345,4.47,5071,65.77,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793837&vrn=100100031793505&prver=0&pronetvd=null&region=24&sub_region=24&type=0&report_mode=null
293,2012-03-04,Красноярский край,"Красноярск, Железнодорожная",70138,68150,0,42202,1335,24613,1335,42130,550,42915,2045,1687,1523,358,6,0,0,0,3323,7.65,8288,19.07,1908,4.39,5970,13.74,23426,53.9,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793837&vrn=100100031793505&prver=0&pronetvd=null&region=24&sub_region=24&type=0&report_mode=null
294,2012-03-04,Красноярский край,"Красноярск, Кировская",86727,77000,0,51387,1063,24550,1063,51365,620,51808,2400,1477,1123,923,22,0,0,0,4283,8.17,10132,19.33,2084,3.97,5246,10.01,30063,57.34,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793837&vrn=100100031793505&prver=0&pronetvd=null&region=24&sub_region=24&type=0&report_mode=null
295,2012-03-04,Красноярский край,"Красноярск, Ленинская",106728,107261,0,56991,1831,48439,1831,56972,1156,57647,2155,1689,1160,466,21,0,0,0,5641,9.59,11649,19.81,2473,4.21,5305,9.02,32579,55.4,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793837&vrn=100100031793505&prver=0&pronetvd=null&region=24&sub_region=24&type=0&report_mode=null
296,2012-03-04,Красноярский край,"Красноярск, Октябрьская",120035,106508,0,65090,3226,38192,3201,65014,836,67379,2610,1870,1500,740,45,0,0,0,4871,7.14,12863,18.86,2946,4.32,9608,14.08,37091,54.37,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793837&vrn=100100031793505&prver=0&pronetvd=null&region=24&sub_region=24&type=0&report_mode=null
297,2012-03-04,Красноярский край,"Красноярск, Свердловская",99792,96400,0,55487,2150,38761,2149,55368,692,56825,2571,1749,1430,822,152,0,2,0,4852,8.44,11035,19.19,2440,4.24,6266,10.89,32232,56.04,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793837&vrn=100100031793505&prver=0&pronetvd=null&region=24&sub_region=24&type=0&report_mode=null
298,2012-03-04,Красноярский край,"Красноярск, Советская",205974,194214,0,119494,2804,71916,2804,119327,1640,120491,3748,3383,2696,365,81,0,0,0,9784,8.01,21330,17.46,5247,4.3,16099,13.18,68031,55.7,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793837&vrn=100100031793505&prver=0&pronetvd=null&region=24&sub_region=24&type=0&report_mode=null
299,2012-03-04,Красноярский край,"Красноярск, Центральная",44997,43000,0,25005,1056,16939,1056,24991,321,25726,1510,667,1065,843,17,0,0,0,1719,6.6,5013,19.25,1240,4.76,4037,15.5,13717,52.66,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793837&vrn=100100031793505&prver=0&pronetvd=null&region=24&sub_region=24&type=0&report_mode=null
300,2012-03-04,Красноярский край,Курагинская,37381,37111,140,19821,1493,15657,1633,19820,738,20715,445,282,180,163,3,0,0,0,1836,8.56,4016,18.72,641,2.99,1325,6.18,12897,60.12,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793837&vrn=100100031793505&prver=0&pronetvd=null&region=24&sub_region=24&type=0&report_mode=null
301,2012-03-04,Красноярский край,Лесосибирская городская,53222,53365,0,28549,1237,23579,1237,28546,299,29484,441,438,281,3,7,0,0,0,2475,8.31,5384,18.08,862,2.89,2032,6.82,18731,62.89,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793837&vrn=100100031793505&prver=0&pronetvd=null&region=24&sub_region=24&type=0&report_mode=null
302,2012-03-04,Красноярский край,Манская,14104,14163,5,7351,672,6135,677,7351,101,7927,240,212,157,28,9,0,0,0,750,9.34,1324,16.49,185,2.3,435,5.42,5233,65.18,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793837&vrn=100100031793505&prver=0&pronetvd=null&region=24&sub_region=24&type=0&report_mode=null
303,2012-03-04,Красноярский край,Минусинская,20853,20523,0,11846,565,8112,565,11845,156,12254,287,138,217,149,7,0,0,0,1049,8.45,2344,18.89,287,2.31,537,4.33,8037,64.76,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793837&vrn=100100031793505&prver=0&pronetvd=null&region=24&sub_region=24&type=0&report_mode=null
304,2012-03-04,Красноярский край,Минусинская городская,59444,54612,0,33291,1292,20029,1291,33260,402,34149,695,468,336,227,13,0,0,0,3355,9.71,7603,22.01,1278,3.7,2443,7.07,19470,56.35,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793837&vrn=100100031793505&prver=0&pronetvd=null&region=24&sub_region=24&type=0&report_mode=null
305,2012-03-04,Красноярский край,Мотыгинская,12675,11950,99,6556,1204,4091,1303,6554,69,7788,194,121,116,73,6,0,0,0,623,7.93,1051,13.38,276,3.51,419,5.33,5419,68.97,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793837&vrn=100100031793505&prver=0&pronetvd=null&region=24&sub_region=24&type=0&report_mode=null
306,2012-03-04,Красноярский край,Назаровская,16737,15487,0,9799,771,4917,771,9799,115,10455,295,103,146,192,4,0,0,0,914,8.65,1595,15.09,229,2.17,374,3.54,7343,69.47,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793837&vrn=100100031793505&prver=0&pronetvd=null&region=24&sub_region=24&type=0&report_mode=null
307,2012-03-04,Красноярский край,Назаровская городская,41142,39993,0,22396,859,16738,858,22381,316,22923,483,440,269,43,15,0,0,0,1616,6.95,4785,20.59,1005,4.32,1438,6.19,14079,60.58,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793837&vrn=100100031793505&prver=0&pronetvd=null&region=24&sub_region=24&type=0&report_mode=null
308,2012-03-04,Красноярский край,Нижнеингашская,22925,22924,3,12138,1328,9455,1331,12137,163,13305,329,278,170,51,18,0,0,0,1209,8.98,2482,18.43,414,3.07,619,4.6,8581,63.71,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793837&vrn=100100031793505&prver=0&pronetvd=null&region=24&sub_region=24&type=0&report_mode=null
309,2012-03-04,Красноярский край,Новоселовская,11418,10848,0,6704,539,3605,539,6704,73,7170,190,73,47,117,2,0,0,0,666,9.2,1307,18.05,187,2.58,309,4.27,4701,64.9,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793837&vrn=100100031793505&prver=0&pronetvd=null&region=24&sub_region=24&type=0&report_mode=null
310,2012-03-04,Красноярский край,Норильская городская,138237,119211,0,81625,1382,36204,1382,81198,1100,81480,1545,1120,853,425,619,0,0,0,8610,10.43,8641,10.46,2372,2.87,4974,6.02,56883,68.88,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793837&vrn=100100031793505&prver=0&pronetvd=null&region=24&sub_region=24&type=0&report_mode=null
311,2012-03-04,Красноярский край,Партизанская,8715,8652,0,4740,509,3403,509,4739,61,5187,187,87,76,100,8,0,0,0,502,9.57,876,16.69,181,3.45,239,4.55,3389,64.58,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793837&vrn=100100031793505&prver=0&pronetvd=null&region=24&sub_region=24&type=0&report_mode=null
312,2012-03-04,Красноярский край,Пировская,6442,6498,0,3544,486,2468,486,3544,35,3995,95,64,63,31,5,0,0,0,288,7.15,720,17.87,103,2.56,125,3.1,2759,68.46,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793837&vrn=100100031793505&prver=0&pronetvd=null&region=24&sub_region=24&type=0&report_mode=null
313,2012-03-04,Красноярский край,Рыбинская,26247,25529,0,13494,1157,10878,1157,13494,159,14492,359,178,172,181,2,0,0,0,1456,9.94,2778,18.96,409,2.79,760,5.19,9089,62.04,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793837&vrn=100100031793505&prver=0&pronetvd=null&region=24&sub_region=24&type=0&report_mode=null
314,2012-03-04,Красноярский край,Саянская,10011,10089,0,5484,481,4124,481,5484,50,5915,195,140,95,55,5,0,0,0,454,7.61,1064,17.84,135,2.26,248,4.16,4014,67.29,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793837&vrn=100100031793505&prver=0&pronetvd=null&region=24&sub_region=24&type=0&report_mode=null
315,2012-03-04,Красноярский край,Северо-Енисейская,10015,8221,1811,5124,588,698,2399,5124,59,7464,180,171,159,9,20,0,0,0,786,10.45,764,10.16,278,3.7,505,6.71,5131,68.2,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793837&vrn=100100031793505&prver=0&pronetvd=null&region=24&sub_region=24&type=0&report_mode=null
316,2012-03-04,Красноярский край,Солнечная поселковая,7744,7050,411,4573,239,1827,650,4572,63,5159,187,166,24,21,13,0,0,0,572,10.95,786,15.05,113,2.16,360,6.89,3328,63.73,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793837&vrn=100100031793505&prver=0&pronetvd=null&region=24&sub_region=24&type=0&report_mode=null
317,2012-03-04,Красноярский край,Сосновоборская городская,26268,24700,0,16080,302,8318,302,16066,200,16168,330,283,417,47,8,0,0,0,1248,7.62,3149,19.24,638,3.9,1464,8.94,9669,59.07,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793837&vrn=100100031793505&prver=0&pronetvd=null&region=24&sub_region=24&type=0&report_mode=null
318,2012-03-04,Красноярский край,Сухобузимская,16738,16446,0,8915,1164,6367,1164,8914,104,9974,196,190,157,6,4,0,0,0,857,8.5,1476,14.65,247,2.45,450,4.47,6944,68.9,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793837&vrn=100100031793505&prver=0&pronetvd=null&region=24&sub_region=24&type=0&report_mode=null
319,2012-03-04,Красноярский край,Тасеевская,10852,10935,36,5133,717,5049,753,5133,60,5826,192,145,45,47,4,0,0,0,444,7.54,1168,19.84,151,2.57,268,4.55,3795,64.48,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793837&vrn=100100031793505&prver=0&pronetvd=null&region=24&sub_region=24&type=0&report_mode=null
320,2012-03-04,Красноярский край,Туруханская,16803,13730,3639,6939,469,2683,4108,6939,150,10897,169,127,140,42,5,0,0,0,1120,10.14,1515,13.71,449,4.06,869,7.87,6944,62.86,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793837&vrn=100100031793505&prver=0&pronetvd=null&region=24&sub_region=24&type=0&report_mode=null
321,2012-03-04,Красноярский край,Тюхтетская,6959,6968,0,4137,574,2257,574,4135,44,4665,187,112,81,75,5,0,0,0,443,9.41,936,19.88,96,2.04,169,3.59,3021,64.15,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793837&vrn=100100031793505&prver=0&pronetvd=null&region=24&sub_region=24&type=0&report_mode=null
322,2012-03-04,Красноярский край,Ужурская,25486,23976,0,12934,1118,9924,1118,12933,142,13909,366,244,189,122,9,0,0,0,1391,9.9,3000,21.35,277,1.97,591,4.21,8650,61.56,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793837&vrn=100100031793505&prver=0&pronetvd=null&region=24&sub_region=24&type=0&report_mode=null
323,2012-03-04,Красноярский край,Уярская,17966,17897,10,8664,612,8611,622,8664,109,9177,275,133,110,142,11,0,0,0,726,7.82,1695,18.25,281,3.03,423,4.56,6052,65.17,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793837&vrn=100100031793505&prver=0&pronetvd=null&region=24&sub_region=24&type=0&report_mode=null
324,2012-03-04,Красноярский край,Шарыповская,12178,11825,0,7651,1059,3115,1059,7651,73,8637,232,160,281,72,4,0,0,0,662,7.6,1295,14.87,166,1.91,322,3.7,6192,71.09,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793837&vrn=100100031793505&prver=0&pronetvd=null&region=24&sub_region=24&type=0&report_mode=null
325,2012-03-04,Красноярский край,Шарыповская городская,33196,32014,0,20621,1242,10151,1242,20615,258,21599,620,565,222,55,30,0,0,0,1745,7.98,4124,18.87,876,4.01,1314,6.01,13540,61.95,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793837&vrn=100100031793505&prver=0&pronetvd=null&region=24&sub_region=24&type=0&report_mode=null
326,2012-03-04,Красноярский край,Шушенская,28459,28536,0,15287,1080,12169,1080,15283,166,16197,429,243,201,186,6,0,0,0,1218,7.44,3111,19.01,585,3.58,989,6.04,10294,62.91,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793837&vrn=100100031793505&prver=0&pronetvd=null&region=24&sub_region=24&type=0&report_mode=null
327,2012-03-04,Красноярский край,Таймырская Долгано-Ненецкая №1,22410,18560,1985,11315,447,4813,2430,11313,131,13612,480,289,392,191,183,0,0,0,1207,8.78,1372,9.98,391,2.85,788,5.73,9854,71.7,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793837&vrn=100100031793505&prver=0&pronetvd=null&region=24&sub_region=24&type=0&report_mode=null
328,2012-03-04,Красноярский край,Таймырская Долгано-Ненецкая №2,4392,4424,146,2700,148,1430,294,2698,13,2979,101,96,197,5,169,0,0,0,123,4.11,184,6.15,60,2.01,163,5.45,2449,81.85,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793837&vrn=100100031793505&prver=0&pronetvd=null&region=24&sub_region=24&type=0&report_mode=null
329,2012-03-04,Красноярский край,Байкитская,4200,3960,414,1898,71,1577,485,1898,37,2346,110,70,61,40,37,0,0,0,196,8.22,257,10.78,110,4.62,229,9.61,1554,65.21,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793837&vrn=100100031793505&prver=0&pronetvd=null&region=24&sub_region=24&type=0&report_mode=null
330,2012-03-04,Красноярский край,Илимпийская,5814,5777,0,3133,110,2534,110,3133,30,3213,250,72,88,178,89,0,0,0,165,5.09,273,8.42,76,2.34,307,9.47,2392,73.76,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793837&vrn=100100031793505&prver=0&pronetvd=null&region=24&sub_region=24&type=0&report_mode=null
331,2012-03-04,Красноярский край,Тунгусско-Чунская,2808,2860,0,1385,121,1354,121,1385,20,1486,75,48,27,27,17,0,0,0,104,6.91,197,13.08,55,3.65,136,9.03,994,66.0,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793837&vrn=100100031793505&prver=0&pronetvd=null&region=24&sub_region=24&type=0&report_mode=null
332,2012-03-04,Брянская область,Брасовская,16534,17025,0,9466,2029,5530,2029,9466,113,11382,345,345,93,0,65,0,0,0,609,5.3,2718,23.65,369,3.21,351,3.05,7335,63.81,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793918&vrn=100100031793505&prver=0&pronetvd=null&region=32&sub_region=32&type=0&report_mode=null
333,2012-03-04,Брянская область,"Брянск, Бежицкая",134502,133690,0,85195,3952,44543,3952,84588,830,87710,910,910,6314,0,5050,0,0,0,6080,6.87,20722,23.4,3556,4.02,6188,6.99,51164,57.79,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793918&vrn=100100031793505&prver=0&pronetvd=null&region=32&sub_region=32&type=0&report_mode=null
334,2012-03-04,Брянская область,"Брянск, Володарская",62648,63400,0,44383,2545,16472,2544,44329,849,46024,650,650,980,0,1810,0,0,0,3361,7.17,10505,22.41,1767,3.77,2841,6.06,27550,58.78,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793918&vrn=100100031793505&prver=0&pronetvd=null&region=32&sub_region=32&type=0&report_mode=null
335,2012-03-04,Брянская область,"Брянск, Советская",102543,92490,0,67081,4394,21015,4394,66697,806,70285,755,754,7088,1,4367,0,0,0,4097,5.76,16400,23.07,2697,3.79,5992,8.43,41099,57.81,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793918&vrn=100100031793505&prver=0&pronetvd=null&region=32&sub_region=32&type=0&report_mode=null
336,2012-03-04,Брянская область,"Брянск, Фокинская",69068,61700,0,41775,2673,17252,2673,41515,424,43764,659,657,2682,2,2646,0,0,0,2923,6.61,10165,23.0,1563,3.54,2530,5.73,26583,60.16,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793918&vrn=100100031793505&prver=0&pronetvd=null&region=32&sub_region=32&type=0&report_mode=null
337,2012-03-04,Брянская область,Брянская,45991,39620,0,27349,5928,6343,5928,27348,307,32969,209,209,658,0,896,0,0,0,2374,7.13,6563,19.72,944,2.84,1598,4.8,21490,64.58,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793918&vrn=100100031793505&prver=0&pronetvd=null&region=32&sub_region=32&type=0&report_mode=null
338,2012-03-04,Брянская область,Выгоничская,16168,16300,0,9594,1295,5411,1295,9593,117,10771,213,197,260,16,227,0,0,0,877,8.05,2378,21.84,373,3.43,479,4.4,6664,61.2,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793918&vrn=100100031793505&prver=0&pronetvd=null&region=32&sub_region=32&type=0&report_mode=null
339,2012-03-04,Брянская область,Гордеевская,8616,9073,0,6979,963,1131,963,6979,21,7921,112,112,22,0,38,0,0,0,104,1.31,393,4.95,90,1.13,53,0.67,7281,91.68,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793918&vrn=100100031793505&prver=0&pronetvd=null&region=32&sub_region=32&type=0&report_mode=null
340,2012-03-04,Брянская область,Дубровская,15553,14500,0,8213,1537,4750,1537,8213,53,9697,202,202,52,0,48,0,0,0,690,7.08,1985,20.36,323,3.31,325,3.33,6374,65.37,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793918&vrn=100100031793505&prver=0&pronetvd=null&region=32&sub_region=32&type=0&report_mode=null
341,2012-03-04,Брянская область,Дятьковская,61623,61100,0,33852,5156,22092,5156,33810,442,38524,307,307,651,0,343,0,0,0,2560,6.57,8687,22.29,1098,2.82,1471,3.78,24708,63.41,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793918&vrn=100100031793505&prver=0&pronetvd=null&region=32&sub_region=32&type=0&report_mode=null
342,2012-03-04,Брянская область,Жирятинская,5444,5700,0,3052,1208,1440,1208,3052,43,4217,71,71,32,0,39,0,0,0,201,4.72,690,16.2,118,2.77,98,2.3,3110,73.0,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793918&vrn=100100031793505&prver=0&pronetvd=null&region=32&sub_region=32&type=0&report_mode=null
343,2012-03-04,Брянская область,Жуковская,30225,30040,0,16822,2472,10746,2472,16821,194,19099,331,331,743,0,769,0,0,0,1175,6.09,4395,22.78,792,4.11,664,3.44,12073,62.58,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793918&vrn=100100031793505&prver=0&pronetvd=null&region=32&sub_region=32&type=0&report_mode=null
344,2012-03-04,Брянская область,Злынковская,9434,9350,0,5622,2217,1511,2217,5622,60,7779,92,92,22,0,108,0,0,0,252,3.21,866,11.05,184,2.35,184,2.35,6293,80.28,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793918&vrn=100100031793505&prver=0&pronetvd=null&region=32&sub_region=32&type=0&report_mode=null
345,2012-03-04,Брянская область,Карачевская,29335,29800,0,15713,2074,12013,2074,15713,153,17634,136,136,259,0,184,0,0,0,1311,7.37,4805,27.01,669,3.76,683,3.84,10166,57.15,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793918&vrn=100100031793505&prver=0&pronetvd=null&region=32&sub_region=32&type=0&report_mode=null
346,2012-03-04,Брянская область,Клетнянская,16060,16300,0,8549,3382,4369,3382,8549,71,11860,181,181,118,0,69,0,0,0,520,4.36,1756,14.72,241,2.02,177,1.48,9166,76.83,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793918&vrn=100100031793505&prver=0&pronetvd=null&region=32&sub_region=32&type=0&report_mode=null
347,2012-03-04,Брянская область,Климовская,25073,25445,0,12630,2728,10087,2728,12630,135,15223,236,236,89,0,61,0,0,0,1132,7.37,2683,17.47,520,3.39,548,3.57,10340,67.33,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793918&vrn=100100031793505&prver=0&pronetvd=null&region=32&sub_region=32&type=0&report_mode=null
348,2012-03-04,Брянская область,Клинцовская,15342,15540,0,7328,3949,4263,3949,7328,103,11174,198,179,131,19,52,0,0,0,458,4.06,1336,11.85,222,1.97,188,1.67,8970,79.54,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793918&vrn=100100031793505&prver=0&pronetvd=null&region=32&sub_region=32&type=0&report_mode=null
349,2012-03-04,Брянская область,Клинцовская городская,54177,52500,0,29477,3456,19567,3456,29475,321,32610,471,471,727,0,409,0,0,0,1404,4.26,6077,18.45,1002,3.04,1175,3.57,22952,69.7,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793918&vrn=100100031793505&prver=0&pronetvd=null&region=32&sub_region=32&type=0&report_mode=null
350,2012-03-04,Брянская область,Комаричская,13887,14257,0,7905,1700,4652,1700,7904,71,9533,196,193,88,3,74,0,0,0,521,5.42,1826,19.01,335,3.49,245,2.55,6606,68.78,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793918&vrn=100100031793505&prver=0&pronetvd=null&region=32&sub_region=32&type=0&report_mode=null
351,2012-03-04,Брянская область,Красногорская,10975,11105,0,7782,1126,2197,1126,7782,29,8879,146,105,43,41,24,0,0,0,185,2.08,443,4.97,124,1.39,40,0.45,8087,90.78,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793918&vrn=100100031793505&prver=0&pronetvd=null&region=32&sub_region=32&type=0&report_mode=null
352,2012-03-04,Брянская область,Мглинская,15233,15595,0,8371,3462,3762,3460,8370,103,11727,167,167,74,0,50,0,0,0,599,5.06,1912,16.16,275,2.32,262,2.21,8679,73.36,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793918&vrn=100100031793505&prver=0&pronetvd=null&region=32&sub_region=32&type=0&report_mode=null
353,2012-03-04,Брянская область,Навлинская,22432,22664,0,12153,2250,8261,2250,12153,118,14285,328,328,396,0,172,0,0,0,968,6.72,3051,21.18,375,2.6,465,3.23,9426,65.44,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793918&vrn=100100031793505&prver=0&pronetvd=null&region=32&sub_region=32&type=0&report_mode=null
354,2012-03-04,Брянская область,Новозыбковская,9277,8667,0,5020,933,2714,933,5020,45,5908,79,79,67,0,21,0,0,0,272,4.57,1058,17.77,192,3.23,185,3.11,4201,70.57,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793918&vrn=100100031793505&prver=0&pronetvd=null&region=32&sub_region=32&type=0&report_mode=null
355,2012-03-04,Брянская область,Новозыбковская городская,34125,34000,0,17741,1483,14776,1483,17738,201,19020,212,208,312,4,138,0,0,0,993,5.17,3854,20.05,773,4.02,982,5.11,12418,64.61,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793918&vrn=100100031793505&prver=0&pronetvd=null&region=32&sub_region=32&type=0&report_mode=null
356,2012-03-04,Брянская область,Погарская,24628,25585,0,14834,3767,6984,3767,14829,173,18423,690,690,359,0,190,0,0,0,1202,6.46,2857,15.36,710,3.82,483,2.6,13171,70.83,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793918&vrn=100100031793505&prver=0&pronetvd=null&region=32&sub_region=32&type=0&report_mode=null
357,2012-03-04,Брянская область,Почепская,33651,33140,0,17760,3543,11837,3543,17755,183,21115,290,285,165,5,114,0,0,0,1380,6.48,4529,21.26,630,2.96,655,3.08,13921,65.36,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793918&vrn=100100031793505&prver=0&pronetvd=null&region=32&sub_region=32&type=0&report_mode=null
358,2012-03-04,Брянская область,Рогнединская,5762,6100,0,3328,817,1955,817,3328,28,4117,93,93,45,0,37,0,0,0,263,6.34,779,18.79,131,3.16,75,1.81,2869,69.22,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793918&vrn=100100031793505&prver=0&pronetvd=null&region=32&sub_region=32&type=0&report_mode=null
359,2012-03-04,Брянская область,Севская,13122,13900,0,7269,2130,4501,2130,7269,78,9321,218,218,98,0,82,0,0,0,527,5.61,1873,19.93,259,2.76,276,2.94,6386,67.94,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793918&vrn=100100031793505&prver=0&pronetvd=null&region=32&sub_region=32&type=0&report_mode=null
360,2012-03-04,Брянская область,Сельцовская городская,15125,15300,0,8803,1017,5480,1017,8803,83,9737,109,106,188,3,101,0,0,0,667,6.79,2152,21.91,396,4.03,505,5.14,6017,61.27,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793918&vrn=100100031793505&prver=0&pronetvd=null&region=32&sub_region=32&type=0&report_mode=null
361,2012-03-04,Брянская область,Стародубская,30858,29700,0,16423,4415,8862,4415,16421,149,20687,272,272,180,0,178,0,0,0,1207,5.79,4272,20.5,529,2.54,616,2.96,14063,67.49,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793918&vrn=100100031793505&prver=0&pronetvd=null&region=32&sub_region=32&type=0&report_mode=null
362,2012-03-04,Брянская область,Суземская,14466,14000,0,7303,1210,5487,1210,7303,130,8383,101,101,129,0,99,0,0,0,546,6.41,1907,22.4,369,4.33,251,2.95,5310,62.38,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793918&vrn=100100031793505&prver=0&pronetvd=null&region=32&sub_region=32&type=0&report_mode=null
363,2012-03-04,Брянская область,Суражская,20161,20700,0,10295,2939,7466,2939,10295,110,13124,301,301,141,0,49,0,0,0,854,6.45,2578,19.48,374,2.83,326,2.46,8992,67.95,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100031793918&vrn=100100031793505&prver=0&pronetvd=null&region=32&sub_region=32&type=0&report_mode=null
