,vote_date,region,commission_name,voters_number,issued_ballots_number,turned_ballots_number,bad_ballots_number,for_votes_number,for_votes_percent,against_votes_number,against_votes_percent,link
693,"
						Дата голосования:  01.07.2020",Территория за пределами РФ,УИК №8377,2868,2658,2656,57,1141,42.96%,1458,54.89%,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100164050020&vrn=100100163596966&prver=0&pronetvd=null&region=99&sub_region=99&type=0&report_mode=null
694,"
						Дата голосования:  01.07.2020",Территория за пределами РФ,УИК №8380,371,371,370,0,87,23.51%,283,76.49%,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100164050020&vrn=100100163596966&prver=0&pronetvd=null&region=99&sub_region=99&type=0&report_mode=null
695,"
						Дата голосования:  01.07.2020",Территория за пределами РФ,УИК №8383,45,45,45,0,37,82.22%,8,17.78%,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100164050020&vrn=100100163596966&prver=0&pronetvd=null&region=99&sub_region=99&type=0&report_mode=null
696,"
						Дата голосования:  01.07.2020",Территория за пределами РФ,УИК №8388,675,675,675,5,395,58.52%,275,40.74%,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100164050020&vrn=100100163596966&prver=0&pronetvd=null&region=99&sub_region=99&type=0&report_mode=null
697,"
						Дата голосования:  01.07.2020",Территория за пределами РФ,УИК №8407,79,79,79,0,46,58.23%,33,41.77%,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100164050020&vrn=100100163596966&prver=0&pronetvd=null&region=99&sub_region=99&type=0&report_mode=null
698,"
						Дата голосования:  01.07.2020",Рязанская область,Ермишинская,6634,4905,4905,98,3438,"70,09%",1369,"27,91%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598069&vrn=100100163596966&prver=0&pronetvd=null&region=62&sub_region=62&type=0&report_mode=null
699,"
						Дата голосования:  01.07.2020",Рязанская область,Захаровская,7942,5969,5969,40,4706,"78,84%",1223,"20,49%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598069&vrn=100100163596966&prver=0&pronetvd=null&region=62&sub_region=62&type=0&report_mode=null
700,"
						Дата голосования:  01.07.2020",Рязанская область,Кадомская,6305,4819,4819,26,3711,"77,01%",1082,"22,45%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598069&vrn=100100163596966&prver=0&pronetvd=null&region=62&sub_region=62&type=0&report_mode=null
701,"
						Дата голосования:  01.07.2020",Рязанская область,Касимовская,23390,14723,14723,135,10740,"72,95%",3848,"26,14%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598069&vrn=100100163596966&prver=0&pronetvd=null&region=62&sub_region=62&type=0&report_mode=null
702,"
						Дата голосования:  01.07.2020",Рязанская область,Касимовская городская,26304,20822,20822,67,17303,"83,1%",3452,"16,58%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598069&vrn=100100163596966&prver=0&pronetvd=null&region=62&sub_region=62&type=0&report_mode=null
703,"
						Дата голосования:  01.07.2020",Рязанская область,Kлепиковская,19143,15632,15632,121,13084,"83,7%",2427,"15,53%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598069&vrn=100100163596966&prver=0&pronetvd=null&region=62&sub_region=62&type=0&report_mode=null
704,"
						Дата голосования:  01.07.2020",Рязанская область,Кораблинская,17801,12444,12444,103,10263,"82,47%",2078,"16,7%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598069&vrn=100100163596966&prver=0&pronetvd=null&region=62&sub_region=62&type=0&report_mode=null
705,"
						Дата голосования:  01.07.2020",Рязанская область,Милославская,9866,7815,7815,45,6500,"83,17%",1270,"16,25%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598069&vrn=100100163596966&prver=0&pronetvd=null&region=62&sub_region=62&type=0&report_mode=null
706,"
						Дата голосования:  01.07.2020",Рязанская область,Mихайловская,25500,22878,22878,190,20095,"87,84%",2593,"11,33%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598069&vrn=100100163596966&prver=0&pronetvd=null&region=62&sub_region=62&type=0&report_mode=null
707,"
						Дата голосования:  01.07.2020",Рязанская область,Александро-Невская,8395,6858,6858,269,5664,"82,59%",925,"13,49%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598069&vrn=100100163596966&prver=0&pronetvd=null&region=62&sub_region=62&type=0&report_mode=null
708,"
						Дата голосования:  01.07.2020",Рязанская область,Пителинская,4312,3322,3322,20,2521,"75,89%",781,"23,51%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598069&vrn=100100163596966&prver=0&pronetvd=null&region=62&sub_region=62&type=0&report_mode=null
709,"
						Дата голосования:  01.07.2020",Рязанская область,Пронская,25307,18465,18465,165,14998,"81,22%",3302,"17,88%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598069&vrn=100100163596966&prver=0&pronetvd=null&region=62&sub_region=62&type=0&report_mode=null
710,"
						Дата голосования:  01.07.2020",Рязанская область,Путятинская,6218,4657,4657,34,3835,"82,35%",788,"16,92%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598069&vrn=100100163596966&prver=0&pronetvd=null&region=62&sub_region=62&type=0&report_mode=null
711,"
						Дата голосования:  01.07.2020",Рязанская область,Рыбновская,30922,22820,22820,103,17130,"75,07%",5587,"24,48%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598069&vrn=100100163596966&prver=0&pronetvd=null&region=62&sub_region=62&type=0&report_mode=null
712,"
						Дата голосования:  01.07.2020",Рязанская область,Ряжская,22828,17336,17332,131,14627,"84,39%",2574,"14,85%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598069&vrn=100100163596966&prver=0&pronetvd=null&region=62&sub_region=62&type=0&report_mode=null
713,"
						Дата голосования:  01.07.2020",Рязанская область,Рязанская,47225,31200,31191,273,23430,"75,12%",7488,"24,01%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598069&vrn=100100163596966&prver=0&pronetvd=null&region=62&sub_region=62&type=0&report_mode=null
714,"
						Дата голосования:  01.07.2020",Рязанская область,"Рязань, Железнодорожная",103696,67819,67811,636,51947,"76,61%",15228,"22,46%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598069&vrn=100100163596966&prver=0&pronetvd=null&region=62&sub_region=62&type=0&report_mode=null
715,"
						Дата голосования:  01.07.2020",Рязанская область,"Рязань, Московская",136674,80005,79231,694,57607,"72,71%",20930,"26,42%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598069&vrn=100100163596966&prver=0&pronetvd=null&region=62&sub_region=62&type=0&report_mode=null
716,"
						Дата голосования:  01.07.2020",Рязанская область,"Рязань, Октябрьская",113486,72318,72287,683,54736,"75,72%",16868,"23,33%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598069&vrn=100100163596966&prver=0&pronetvd=null&region=62&sub_region=62&type=0&report_mode=null
717,"
						Дата голосования:  01.07.2020",Рязанская область,"Рязань, Советская",63323,45417,44901,450,35182,"78,35%",9269,"20,64%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598069&vrn=100100163596966&prver=0&pronetvd=null&region=62&sub_region=62&type=0&report_mode=null
718,"
						Дата голосования:  01.07.2020",Рязанская область,Сапожковская,8132,5876,5876,24,4558,"77,57%",1294,"22,02%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598069&vrn=100100163596966&prver=0&pronetvd=null&region=62&sub_region=62&type=0&report_mode=null
719,"
						Дата голосования:  01.07.2020",Рязанская область,Cараевская,13868,11274,11274,55,9207,"81,67%",2012,"17,85%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598069&vrn=100100163596966&prver=0&pronetvd=null&region=62&sub_region=62&type=0&report_mode=null
720,"
						Дата голосования:  01.07.2020",Рязанская область,Cacовская,13124,9962,9962,198,7506,"75,35%",2258,"22,67%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598069&vrn=100100163596966&prver=0&pronetvd=null&region=62&sub_region=62&type=0&report_mode=null
721,"
						Дата голосования:  01.07.2020",Рязанская область,Сасовская городская,22866,18542,18542,57,16051,"86,57%",2434,"13,13%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598069&vrn=100100163596966&prver=0&pronetvd=null&region=62&sub_region=62&type=0&report_mode=null
722,"
						Дата голосования:  01.07.2020",Рязанская область,Скопинская,20940,18247,18180,67,16703,"91,88%",1410,"7,76%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598069&vrn=100100163596966&prver=0&pronetvd=null&region=62&sub_region=62&type=0&report_mode=null
723,"
						Дата голосования:  01.07.2020",Рязанская область,Скопинская городская,21601,17517,17517,112,14422,"82,33%",2983,"17,03%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598069&vrn=100100163596966&prver=0&pronetvd=null&region=62&sub_region=62&type=0&report_mode=null
724,"
						Дата голосования:  01.07.2020",Рязанская область,Спасская,22864,14982,14982,89,11232,"74,97%",3661,"24,44%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598069&vrn=100100163596966&prver=0&pronetvd=null&region=62&sub_region=62&type=0&report_mode=null
725,"
						Дата голосования:  01.07.2020",Рязанская область,Старожиловская,12678,9871,9871,71,8007,"81,12%",1793,"18,16%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598069&vrn=100100163596966&prver=0&pronetvd=null&region=62&sub_region=62&type=0&report_mode=null
726,"
						Дата голосования:  01.07.2020",Рязанская область,Ухоловская,7845,6283,6282,136,5062,"80,58%",1084,"17,26%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598069&vrn=100100163596966&prver=0&pronetvd=null&region=62&sub_region=62&type=0&report_mode=null
727,"
						Дата голосования:  01.07.2020",Рязанская область,Чучковская,6325,4661,4661,20,3527,"75,67%",1114,"23,9%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598069&vrn=100100163596966&prver=0&pronetvd=null&region=62&sub_region=62&type=0&report_mode=null
728,"
						Дата голосования:  01.07.2020",Рязанская область,Шацкая,17995,14009,14009,47,11539,"82,37%",2423,"17,3%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598069&vrn=100100163596966&prver=0&pronetvd=null&region=62&sub_region=62&type=0&report_mode=null
729,"
						Дата голосования:  01.07.2020",Рязанская область,Шиловская,29897,24059,24058,117,20385,"84,73%",3556,"14,78%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598069&vrn=100100163596966&prver=0&pronetvd=null&region=62&sub_region=62&type=0&report_mode=null
730,"
						Дата голосования:  01.07.2020",Псковская область,Бежаницкая,9659,6413,6413,46,5102,"79,56%",1265,"19,73%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598067&vrn=100100163596966&prver=0&pronetvd=null&region=60&sub_region=60&type=0&report_mode=null
731,"
						Дата голосования:  01.07.2020",Псковская область,Великолукская,16551,11807,11807,134,9449,"80,03%",2224,"18,84%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598067&vrn=100100163596966&prver=0&pronetvd=null&region=60&sub_region=60&type=0&report_mode=null
732,"
						Дата голосования:  01.07.2020",Псковская область,Великолукская городская,77094,33033,33031,237,24123,"73,03%",8671,"26,25%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598067&vrn=100100163596966&prver=0&pronetvd=null&region=60&sub_region=60&type=0&report_mode=null
733,"
						Дата голосования:  01.07.2020",Псковская область,Гдовская,9718,5332,5332,40,4165,"78,11%",1127,"21,14%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598067&vrn=100100163596966&prver=0&pronetvd=null&region=60&sub_region=60&type=0&report_mode=null
734,"
						Дата голосования:  01.07.2020",Псковская область,Дедовичская,10889,8138,8138,53,6440,"79,13%",1645,"20,21%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598067&vrn=100100163596966&prver=0&pronetvd=null&region=60&sub_region=60&type=0&report_mode=null
735,"
						Дата голосования:  01.07.2020",Псковская область,Дновская,10094,7246,7246,32,6005,"82,87%",1209,"16,69%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598067&vrn=100100163596966&prver=0&pronetvd=null&region=60&sub_region=60&type=0&report_mode=null
736,"
						Дата голосования:  01.07.2020",Псковская область,Красногородская,5872,4032,4032,38,3366,"83,48%",628,"15,58%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598067&vrn=100100163596966&prver=0&pronetvd=null&region=60&sub_region=60&type=0&report_mode=null
737,"
						Дата голосования:  01.07.2020",Псковская область,Куньинская,6878,4995,4994,25,4064,"81,38%",905,"18,12%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598067&vrn=100100163596966&prver=0&pronetvd=null&region=60&sub_region=60&type=0&report_mode=null
738,"
						Дата голосования:  01.07.2020",Псковская область,Локнянская,7472,4971,4971,29,3971,"79,88%",971,"19,53%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598067&vrn=100100163596966&prver=0&pronetvd=null&region=60&sub_region=60&type=0&report_mode=null
739,"
						Дата голосования:  01.07.2020",Псковская область,Невельская,18414,13121,13120,107,10845,"82,66%",2168,"16,52%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598067&vrn=100100163596966&prver=0&pronetvd=null&region=60&sub_region=60&type=0&report_mode=null
740,"
						Дата голосования:  01.07.2020",Псковская область,Новоржевская,6903,4242,4242,24,3490,"82,27%",728,"17,16%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598067&vrn=100100163596966&prver=0&pronetvd=null&region=60&sub_region=60&type=0&report_mode=null
741,"
						Дата голосования:  01.07.2020",Псковская область,Новосокольническая,11395,7498,7498,52,6126,"81,7%",1320,"17,6%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598067&vrn=100100163596966&prver=0&pronetvd=null&region=60&sub_region=60&type=0&report_mode=null
742,"
						Дата голосования:  01.07.2020",Псковская область,Опочецкая,14024,9056,9056,43,7376,"81,45%",1637,"18,08%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598067&vrn=100100163596966&prver=0&pronetvd=null&region=60&sub_region=60&type=0&report_mode=null
743,"
						Дата голосования:  01.07.2020",Псковская область,Островская,23086,15340,15340,60,13061,"85,14%",2219,"14,47%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598067&vrn=100100163596966&prver=0&pronetvd=null&region=60&sub_region=60&type=0&report_mode=null
744,"
						Дата голосования:  01.07.2020",Псковская область,Палкинская,6723,4585,4585,24,3790,"82,66%",771,"16,82%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598067&vrn=100100163596966&prver=0&pronetvd=null&region=60&sub_region=60&type=0&report_mode=null
745,"
						Дата голосования:  01.07.2020",Псковская область,Печорская,16183,10791,10790,140,8741,"81,01%",1909,"17,69%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598067&vrn=100100163596966&prver=0&pronetvd=null&region=60&sub_region=60&type=0&report_mode=null
746,"
						Дата голосования:  01.07.2020",Псковская область,Плюсская,6980,3821,3821,8,3150,"82,44%",663,"17,35%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598067&vrn=100100163596966&prver=0&pronetvd=null&region=60&sub_region=60&type=0&report_mode=null
747,"
						Дата голосования:  01.07.2020",Псковская область,Порховская,17077,10192,10191,39,8747,"85,83%",1405,"13,79%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598067&vrn=100100163596966&prver=0&pronetvd=null&region=60&sub_region=60&type=0&report_mode=null
748,"
						Дата голосования:  01.07.2020",Псковская область,Псковская,33266,23653,23651,103,19430,"82,15%",4118,"17,41%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598067&vrn=100100163596966&prver=0&pronetvd=null&region=60&sub_region=60&type=0&report_mode=null
749,"
						Дата голосования:  01.07.2020",Псковская область,Псковская городская,165452,71537,71473,589,51677,"72,3%",19207,"26,87%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598067&vrn=100100163596966&prver=0&pronetvd=null&region=60&sub_region=60&type=0&report_mode=null
750,"
						Дата голосования:  01.07.2020",Псковская область,Пустошкинская,7181,3927,3927,56,3144,"80,06%",727,"18,51%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598067&vrn=100100163596966&prver=0&pronetvd=null&region=60&sub_region=60&type=0&report_mode=null
751,"
						Дата голосования:  01.07.2020",Псковская область,Пушкиногорская,7330,5142,5142,44,4461,"86,76%",637,"12,39%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598067&vrn=100100163596966&prver=0&pronetvd=null&region=60&sub_region=60&type=0&report_mode=null
752,"
						Дата голосования:  01.07.2020",Псковская область,Пыталовская,8768,5762,5762,24,4832,"83,86%",906,"15,72%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598067&vrn=100100163596966&prver=0&pronetvd=null&region=60&sub_region=60&type=0&report_mode=null
753,"
						Дата голосования:  01.07.2020",Псковская область,Себежская,14479,9975,9964,85,7571,"75,98%",2308,"23,16%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598067&vrn=100100163596966&prver=0&pronetvd=null&region=60&sub_region=60&type=0&report_mode=null
754,"
						Дата голосования:  01.07.2020",Псковская область,Струго-Красненская,8323,7085,7085,67,6020,"84,97%",998,"14,09%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598067&vrn=100100163596966&prver=0&pronetvd=null&region=60&sub_region=60&type=0&report_mode=null
755,"
						Дата голосования:  01.07.2020",Псковская область,Усвятская,3794,2802,2802,4,2538,"90,58%",260,"9,28%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598067&vrn=100100163596966&prver=0&pronetvd=null&region=60&sub_region=60&type=0&report_mode=null
756,"
						Дата голосования:  01.07.2020",Республика Башкортостан,Абзелиловская,34119,31270,31270,533,25262,"80,79%",5475,"17,51%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598012&vrn=100100163596966&prver=0&pronetvd=null&region=3&sub_region=3&type=0&report_mode=null
757,"
						Дата голосования:  01.07.2020",Республика Башкортостан,Агидельская городская,12352,11007,11007,86,9850,"89,49%",1071,"9,73%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598012&vrn=100100163596966&prver=0&pronetvd=null&region=3&sub_region=3&type=0&report_mode=null
758,"
						Дата голосования:  01.07.2020",Республика Башкортостан,Альшеевская,31868,31227,31219,131,30003,"96,1%",1085,"3,48%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598012&vrn=100100163596966&prver=0&pronetvd=null&region=3&sub_region=3&type=0&report_mode=null
759,"
						Дата голосования:  01.07.2020",Республика Башкортостан,Архангельская,15017,14110,14110,122,12655,"89,69%",1333,"9,45%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598012&vrn=100100163596966&prver=0&pronetvd=null&region=3&sub_region=3&type=0&report_mode=null
760,"
						Дата голосования:  01.07.2020",Республика Башкортостан,Аскинская,16653,15731,15731,85,14340,"91,16%",1306,"8,3%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598012&vrn=100100163596966&prver=0&pronetvd=null&region=3&sub_region=3&type=0&report_mode=null
761,"
						Дата голосования:  01.07.2020",Республика Башкортостан,Аургазинская,27463,25553,25549,114,22101,"86,5%",3334,"13,05%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598012&vrn=100100163596966&prver=0&pronetvd=null&region=3&sub_region=3&type=0&report_mode=null
762,"
						Дата голосования:  01.07.2020",Республика Башкортостан,Баймакская,42113,38449,38426,608,33894,"88,21%",3924,"10,21%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598012&vrn=100100163596966&prver=0&pronetvd=null&region=3&sub_region=3&type=0&report_mode=null
763,"
						Дата голосования:  01.07.2020",Республика Башкортостан,Бакалинская,21785,21035,21035,61,19930,"94,75%",1044,"4,96%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598012&vrn=100100163596966&prver=0&pronetvd=null&region=3&sub_region=3&type=0&report_mode=null
764,"
						Дата голосования:  01.07.2020",Республика Башкортостан,Балтачевская,16032,15059,15059,51,14205,"94,33%",803,"5,33%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598012&vrn=100100163596966&prver=0&pronetvd=null&region=3&sub_region=3&type=0&report_mode=null
765,"
						Дата голосования:  01.07.2020",Республика Башкортостан,Белебеевская,69380,66140,66096,314,62971,"95,27%",2811,"4,25%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598012&vrn=100100163596966&prver=0&pronetvd=null&region=3&sub_region=3&type=0&report_mode=null
766,"
						Дата голосования:  01.07.2020",Республика Башкортостан,Белокатайская,14689,13983,13983,64,12944,"92,57%",975,"6,97%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598012&vrn=100100163596966&prver=0&pronetvd=null&region=3&sub_region=3&type=0&report_mode=null
767,"
						Дата голосования:  01.07.2020",Республика Башкортостан,Белорецкая,77950,72988,72979,438,68853,"94,35%",3688,"5,05%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598012&vrn=100100163596966&prver=0&pronetvd=null&region=3&sub_region=3&type=0&report_mode=null
768,"
						Дата голосования:  01.07.2020",Республика Башкортостан,Бижбулякская,18421,17732,17732,90,16779,"94,63%",863,"4,87%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598012&vrn=100100163596966&prver=0&pronetvd=null&region=3&sub_region=3&type=0&report_mode=null
769,"
						Дата голосования:  01.07.2020",Республика Башкортостан,Благоварская,18812,17657,17653,113,14714,"83,35%",2826,"16,01%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598012&vrn=100100163596966&prver=0&pronetvd=null&region=3&sub_region=3&type=0&report_mode=null
770,"
						Дата голосования:  01.07.2020",Республика Башкортостан,Благовещенская,37067,32858,32856,338,28514,"86,78%",4004,"12,19%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598012&vrn=100100163596966&prver=0&pronetvd=null&region=3&sub_region=3&type=0&report_mode=null
771,"
						Дата голосования:  01.07.2020",Республика Башкортостан,Буздякская,22019,20229,20229,328,16393,"81,04%",3508,"17,34%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598012&vrn=100100163596966&prver=0&pronetvd=null&region=3&sub_region=3&type=0&report_mode=null
772,"
						Дата голосования:  01.07.2020",Республика Башкортостан,Бураевская,18622,17868,17868,87,17019,"95,25%",762,"4,26%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598012&vrn=100100163596966&prver=0&pronetvd=null&region=3&sub_region=3&type=0&report_mode=null
773,"
						Дата голосования:  01.07.2020",Республика Башкортостан,Бурзянская,12438,11562,11559,147,10396,"89,94%",1016,"8,79%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598012&vrn=100100163596966&prver=0&pronetvd=null&region=3&sub_region=3&type=0&report_mode=null
774,"
						Дата голосования:  01.07.2020",Республика Башкортостан,Гафурийская,25667,24875,24873,166,24132,"97,02%",575,"2,31%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598012&vrn=100100163596966&prver=0&pronetvd=null&region=3&sub_region=3&type=0&report_mode=null
775,"
						Дата голосования:  01.07.2020",Республика Башкортостан,Давлекановская,30767,30126,30126,146,28659,"95,13%",1321,"4,38%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598012&vrn=100100163596966&prver=0&pronetvd=null&region=3&sub_region=3&type=0&report_mode=null
776,"
						Дата голосования:  01.07.2020",Республика Башкортостан,Дуванская,22232,20756,20756,258,18920,"91,15%",1578,"7,6%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598012&vrn=100100163596966&prver=0&pronetvd=null&region=3&sub_region=3&type=0&report_mode=null
777,"
						Дата голосования:  01.07.2020",Республика Башкортостан,Дюртюлинская,47702,45625,45623,296,41107,"90,1%",4220,"9,25%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598012&vrn=100100163596966&prver=0&pronetvd=null&region=3&sub_region=3&type=0&report_mode=null
778,"
						Дата голосования:  01.07.2020",Республика Башкортостан,Ермекеевская,11503,10974,10974,41,10261,"93,5%",672,"6,12%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598012&vrn=100100163596966&prver=0&pronetvd=null&region=3&sub_region=3&type=0&report_mode=null
779,"
						Дата голосования:  01.07.2020",Республика Башкортостан,Зианчуринская,21376,20372,20352,107,19166,"94,17%",1079,"5,3%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598012&vrn=100100163596966&prver=0&pronetvd=null&region=3&sub_region=3&type=0&report_mode=null
780,"
						Дата голосования:  01.07.2020",Республика Башкортостан,Зилаирская,11550,11015,11015,59,10170,"92,33%",786,"7,14%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598012&vrn=100100163596966&prver=0&pronetvd=null&region=3&sub_region=3&type=0&report_mode=null
781,"
						Дата голосования:  01.07.2020",Республика Башкортостан,Иглинская,45117,39985,39872,113,37026,"92,86%",2733,"6,85%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598012&vrn=100100163596966&prver=0&pronetvd=null&region=3&sub_region=3&type=0&report_mode=null
782,"
						Дата голосования:  01.07.2020",Республика Башкортостан,Илишевская,25556,24468,24468,39,23409,"95,67%",1020,"4,17%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598012&vrn=100100163596966&prver=0&pronetvd=null&region=3&sub_region=3&type=0&report_mode=null
783,"
						Дата голосования:  01.07.2020",Республика Башкортостан,Ишимбайская,67589,66183,66183,205,63576,"96,06%",2402,"3,63%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598012&vrn=100100163596966&prver=0&pronetvd=null&region=3&sub_region=3&type=0&report_mode=null
784,"
						Дата голосования:  01.07.2020",Республика Башкортостан,Калтасинская,19629,18549,18549,100,16763,"90,37%",1686,"9,09%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598012&vrn=100100163596966&prver=0&pronetvd=null&region=3&sub_region=3&type=0&report_mode=null
